t_s,gps_x_m,gps_y_m,cv_x_m,cv_y_m,imu_x_m,imu_y_m,cv_error_m,imu_error_m
55.39258837890625,-7.322850213637597,-64.27066760004507,-7.381880875308096,-64.468436322694,-6.929244158356722,-64.07976732741226,0.2063906167330449,0.43745701599706355
55.79176831054687,-6.995101162476397,-64.43745998996408,-7.3524717052834,-64.80890778686206,-6.587531807248339,-64.08405525164918,0.5154485140986796,0.5394512845331292
55.9708935546875,-6.798451732851884,-64.43745998996408,-7.3392748375476,-64.96168859899198,-6.434217058538236,-64.08078085077697,0.753196697480838,0.5097910418040176
56.79740551757812,-6.105496597591728,-63.870365864239446,-7.2783824205761505,-65.66664322183892,-5.738607192260687,-64.21037954156984,2.14529100571051,0.5002170893880965
57.79253540039063,-5.674740703022264,-62.780655583199454,-7.205067252150707,-66.5154166730644,-4.926839909888922,-64.46888556605903,4.036129302355974,1.846476664189267
58.79248730468751,-5.365720169223448,-61.991171604721,-7.131396826262511,-67.36830295808961,-4.129870627162035,-64.78142725803701,5.6596073758338035,3.0516963645610873
59.79949877929688,-5.103520929128426,-61.435196970714536,-7.057206293807916,-68.2272105434112,-3.349133361502555,-65.14704426699504,7.067413591679673,4.10556769379645
60.8026845703125,-4.897507239929216,-61.02377574248341,-6.983297614648918,-69.08285509872711,-2.561083869481669,-65.48846496938786,8.32461900374466,5.039079683713106
61.795425537109374,-4.71022206868806,-60.70131045507088,-6.910158447148646,-69.92959097824833,-1.7614874627093429,-65.77648679801892,9.486879438663195,5.869621000415266
62.79513427734374,-4.551029672001302,-60.49004009474257,-6.8365059361221245,-70.78226986200451,-0.972550708409991,-66.10824690547581,10.542931060002836,6.661062937777643
62.98967358398438,-4.532301155234589,-60.45668161605144,-6.822173453219072,-70.94819774895501,-0.8177414339198761,-66.16966003327329,10.73850203278151,6.814402124827701
63.76891186523438,-4.522936896851233,-60.40108415321666,-6.7647638760170175,-71.6128313578205,-0.17354862801377613,-66.3430074370811,11.433681103846546,7.363669643895716
63.78727197265625,-4.504208379488849,-60.31212821169074,-6.763411214026665,-71.62849119480308,-0.15840535231030226,-66.347219489995,11.539673678797802,7.436957085293577
64.54872412109376,-4.448022827997368,-60.22317227087215,-6.707312011827218,-72.27795452530394,0.47858124994995666,-66.48577563996182,12.264671329388904,7.968163445824921
64.79195581054688,-4.457387086380725,-60.000782417411024,-6.689392167808204,-72.48541347520609,0.684940234482246,-66.51363791206892,12.682580941306039,8.298241799874791
65.03007421875,-4.466751345359752,-59.87846799790131,-6.67184903951497,-72.6885111679009,0.8870746109885901,-66.54006002331424,12.998448440410947,8.54635949886935
65.7937841796875,-4.569758189363687,-59.34473235016047,-6.615583495306736,-73.33990024833747,1.5290507139247203,-66.66391570076179,14.143907723136525,9.52711472370043
65.87084497070313,-4.58848670672607,-59.22241793065075,-6.609906120956023,-73.40562750130634,1.5940257186373954,-66.67534168539943,14.326533780833456,9.68346696095313
66.43098071289063,-4.597850965705097,-58.81099670241963,-6.5686386974881215,-73.8833825715365,2.06448504953051,-66.76819062371274,15.200684855337947,10.378037207534453
66.79546801757813,-4.728950585454773,-58.04375170808485,-6.541785470996143,-74.19426374681899,2.369835501639872,-66.83245027135152,16.251935559665878,11.297521247879738
67.11345825195313,-4.822593171671022,-57.54337453762049,-6.518357868234422,-74.46548630112883,2.6408574327112797,-66.85809475254814,17.00686580304491,11.935958596042314
67.63494018554688,-4.897507239929216,-56.59821766164852,-6.479938224273781,-74.9102724824835,3.0824142043802825,-66.92396153901431,18.380300312603154,13.049909305367137
67.8012666015625,-5.047335377636946,-56.14231846230078,-6.467684297008205,-75.05213682460591,3.2217735764727298,-66.95319535007705,18.96308576018501,13.610775950605904
68.173115234375,-5.187799256365648,-55.57522433728346,-6.440288732254015,-75.3692966776632,3.5321389558573157,-67.02400651190193,19.833659009456564,14.39138407891499
68.75557885742188,-5.328263135094351,-54.79685984981586,-6.39737632517738,-75.86609580718942,4.024729661560206,-67.10150003701374,21.09634344716384,15.455828816038208
68.79272290039063,-5.412541462331572,-54.696784416571774,-6.39463977609641,-75.89777697573594,4.056115486253619,-67.10661033540613,21.223727349163575,15.609588199109021
69.374826171875,-5.506184048547821,-54.007375871337416,-6.351753917549724,-76.39426875157432,4.548231004834496,-67.18513164913887,22.40285609547509,16.57541883045676
69.7969462890625,-5.646647926680853,-53.57371565684066,-6.32065465299955,-76.7543065264267,4.909580555719422,-67.18969954268908,23.190387623544773,17.22872534322614
